ID,項目名,分類,概要,CR基準での判定,工数(h),金額(税抜),判定根拠
B-18,折りたたみUI,仕様外・新規,details要素によるアコーディオン,無償,0.5,"2,500",軽微なUI調整レベル
B-19,フォーム入力UX工夫,仕様外・新規,カスタムセレクト、タグ入力、交通費3段階、ソフトバリデーション,有償,6.0,"30,000",【新規機能】複数のカスタムUI部品
B-20,空状態・エラー状態デザイン,仕様外・新規,空状態表示、エラーメッセージ変換、競合エラーUI,有償,2.0,"10,000",【新規機能】エラーハンドリングUI
B-21,サーバーサイド日付インジェクション,技術判断,window.__SERVER_DATE__埋め込み、RPC削減,有償,1.0,"5,000",【ロジック変更】パフォーマンス最適化
,,,,小計B,76.0,"380,000",
,【C】既存機能の独自拡張,,,,,,
C-1,支払管理の差分支払方式,仕様拡張,期間管理、二重払い防止、取消、月2回締め、Excel出力,有償,16.0,"80,000",【ロジック変更】CR-029(人工割4h)の4倍。支払ロジック全体の設計
C-2,4種請求書テンプレート実装詳細,仕様拡張,Sheets→コピー→セル書込→PDF/Excel。セル配置、印影、計算式,有償,24.0,"120,000",【新規機能】4テンプレート×(設計+実装+テスト)。CR-024(4h)の6倍
C-3,ダッシュボードUX詳細設計,仕様拡張,差分更新、フィルタ、バッジ、最終更新時刻,有償,8.0,"40,000",【機能追加】仕様書の概要を具体的UIに落とし込み
C-4,配置モーダル詳細UI,仕様拡張,3区分表示、NGフィルタ、ダブルブッキング、交通費3段階,有償,10.0,"50,000",【機能追加】配置UIの全詳細設計
C-5,LINEテンプレート詳細フォーマット,仕様拡張,最寄駅、レイアウト、コピーUI,有償,3.0,"15,000",【機能追加】CR-034/035相当
C-6,作業員名簿出力仕様,仕様拡張,安全書類17項目、様式5Excel出力,有償,12.0,"60,000",【新規機能】DB拡張(17項目)+帳票出力パイプライン
C-7,顧客マスター詳細フィールド,仕様拡張,7種単価、締め日・支払サイクル、諸経費率等,有償,6.0,"30,000",【DB追加+ロジック変更】CR-023(締め日1h)の6倍
C-8,外注先マスター詳細設計,仕様拡張,カラム設計、外注スタッフ管理方式、管理画面,有償,4.0,"20,000",【新規機能】テーブル設計+画面+スタッフ連携
,,,,小計C,83.0,"415,000",
,【D】技術的な独自判断,,,,,,
D-1,楽観ロック（Optimistic Locking）,技術判断,expectedUpdatedAt、CONFLICT_ERROR、リロードUI,有償,4.0,"20,000",【ロジック変更】全更新APIに横断的に適用
D-2,差分保存（Diff-based Save）,技術判断,upserts+deletes、変更分のみDB更新,有償,4.0,"20,000",【ロジック変更】保存ロジック全体の設計変更
D-3,監査ログ（Audit Log）,技術判断,変更前/後JSON保存,有償,3.0,"15,000",【新規機能】仕様書に概念あるが実装詳細は独自
D-4,Bulk I/Oパターン,技術判断,一括読み書き、バッチ+進捗保存,有償,4.0,"20,000",【ロジック変更】全データアクセスの基盤設計
D-5,3層アーキテクチャ,技術判断,Controller/Service/Repository分離(14+9+6),有償,8.0,"40,000",【アーキテクチャ設計】29ファイルの分離設計
D-6,マスターキャッシュ戦略,技術判断,フロントエンドSWRキャッシュ（B-3と連動）,有償,0.0,"5,000",B-3に含む（重複計上回避）
D-7,UUID主キー,技術判断,全テーブルUUID統一,有償,2.0,"10,000",【DB設計】行番号非依存の設計判断
D-8,論理削除（Soft Delete）,技術判断,is_deletedフラグ、フィルタ除外,有償,2.0,"10,000",【DB設計+ロジック変更】全テーブルに適用
,,,,小計D,27.0,"140,000",
,【F】詳細を独自判断した部分,,,,,,
F-1,請求番号の採番ルール,仕様拡張,YYMM_SEQ形式、連番管理,有償,2.0,"10,000",【ロジック変更】採番ロジックの設計
F-2,請求書ステータス遷移ルール,仕様拡張,unsent→sent→paid/unpaid、期限超過自動更新,有償,3.0,"15,000",【ロジック変更】CR-026(保留1h)の3倍。ステータスマシン設計
F-3,交通費エリア定義,仕様拡張,エリア区分と金額の枠組み設計,有償,1.0,"5,000",【DB設計】マスタテーブル設計
F-4,顧客選択インクリメンタルサーチ,仕様拡張,B-10に含む,有償,0.0,"5,000",B-10に含む（重複計上回避）
,,,,小計F,6.0,"35,000",
,【G】DBテーブル差分,,,,,,
G-1,M_Company テーブル新設,仕様外・新規,A-8に含む,有償,0.0,"5,000",A-8に含む（重複計上回避）
G-2,T_InvoiceLines テーブル新設,仕様外・新規,A-5に含む,有償,0.0,"5,000",A-5に含む（重複計上回避）
G-3,T_Payments テーブル新設,仕様外・新規,A-4に含む,有償,0.0,"5,000",A-4に含む（重複計上回避）
G-4,全テーブルのカラム設計（9テーブル）,仕様拡張,仕様書はテーブル名のみ。全カラム定義を独自設計,有償,12.0,"60,000",【DB設計】9テーブル×(設計+型定義+制約)
,,,,小計G,12.0,"75,000",
,,,,,,,
,,,,合計（税抜）,283.0,"¥1,440,000",
,,,,消費税（10%）,,"¥144,000",
,,,,合計（税込）,,"¥1,584,000",
,,,,,,,
,【参考】契約金額との比較,,,,,,
,Phase 1 契約金額,,,,,"¥500,000",
,Phase 2 契約金額,,,,,"¥400,000",
,契約合計,,,,,"¥900,000",
,独自開発の見積工数合計（税抜）,,,,,"¥1,440,000",
,差額（独自開発 − 契約）,,,,,"¥540,000",
,倍率,,,,,1.6x,
