CR-ID,起票日,対象,依頼内容,背景・目的,優先度,工数,金額,料金,請求,納期影響,承認者,ステータス,判断根拠,反映日,反映先
CR-017,2026/01/28,LINEテンプレ,z-index調整,操作性,,,,無償,,,,完了,,,
CR-018,2026/01/28,LINEテンプレ,登録内容の転写不備,バグ,,,,無償,,,,完了,,,
CR-019,2026/02/08,請求,顧客検索窓,300社のドロップダウンは困難,,,,無償,,,,完了,,,
CR-020,2026/02/08,ダッシュボード,カードにスタッフ表記,視認性,,,,無償,,,,完了,,,
CR-021,2026/02/08,ダッシュード,モーダルに住所追加,視認性,,,,無償,,,,完了,,,
CR-022,2026/02/08,画面整理,ダッシュボードリスト 案件一覧不要,認知コスト,,,,無償,,,,完了,,,
CR-023,2026/02/08,請求,締め日追加,5日に対応,,1,5000,有償,サービス,,,完了,【ロジック変更】 締め処理（対象期間抽出）の根幹ロジックに関わる変更。,,
CR-024,2026/02/08,請求,請求額の調整機能,調整のため,,4,20000,有償,検討,,,完了,【新規機能】 確定金額に対して「調整額」を持たせるDB追加と計算ロジック追加。,,
CR-025,2026/02/08,請求,一括印刷,効率性,,,,有償,,,,見送り,【新規機能】 外部サービスの利用が必須。さらに月額料金も必須。,,
CR-026,2026/02/08,請求,保留ステータス,手直しフラグ,,1,5000,有償,検討,,,完了,【ロジック変更】 CR-05同様、請求フローにおけるステータス分岐の変更。,,
CR-027,2026/02/08,売上分析,顧客ごとの集計,顧客それぞれに対して確認したい,,4,20000,有償,検討,,,完了,【新規画面/機能】 新しい集計軸での分析画面作成。,,
CR-028,2026/02/08,支払,スタッフごと明細,欲しがる人間のため,,6,30000,有償,検討,,,検討中,【新規帳票/機能】 スタッフ向け支払明細（給与明細的なもの）の新規作成。,,
CR-029,2026/02/08,支払,人工割ロジック,ビジネスロジック,,4,20000,有償,検討,,,検討中,【ロジック変更】 建設業特有の「常用・請負」等の計算ロジック変更は高リスク。,,
CR-030,2026/02/08,スタッフマスタ,口座情報管理,データをシステムに集めたい,,8,40000,有償,,,,検討中,【新機能】DB追加のみならず追加のセキュリティ管理が必要。,,
CR-031,2026/02/08,ダッシュボード,LINEテンプレートで駅未反映,テンプレート充実,,,,無償,,,,完了,,,
CR-032,2026/02/08,スタッフ,稼働日一覧,スタッフの配置効率化,,,,有償,,,,見送り,【新規画面】 スタッフの稼働状況を一覧化する画面の新規作成。完全スコープ外,,
CR-033,2026/02/08,請求,配置過不足場合の交通費請求金額の変動,ビジネスロジック,,2,10000,有償,検討,,,検討中,【ロジック変更】 計算ロジック変更。CR-29人工割とセット,,
CR-034,2026/02/09,LINE出力,表記内容・カテゴリの修正,ビジネスロジック,,,,完了,,,,,【選択】外注名を特定して表示をまとめる場合、機能追加費用5000,,
CR-035,2026/02/09,LINE出力,配置スタッフの名称修正,通称を利用したい,,2,10000,有償,検討,,,検討中,【DB追加】 スタッフマスタに「通称（あだ名）」カラムがない場合、DB追加が必要。,,
CR-036,2026/02/09,請求書,締め日毎の検索機能追加,利便性,,1,5000,有償,検討,,,検討中,【機能追加】 検索インデックスの追加や、クエリロジックの変更。,,
CR-037,2026/02/09,帳票,1ページ目の下線が引かれていない,見栄え,,,,有償,,,,見送り,【外部連携】既存の技術スタックで対応不可。外部サービスが必要。,,
CR-038,2026/02/08,外注,単価 [基本]の追加,ハーフ、終日以外に一社だけ,,1,5000,有償,サービス,,,完了,【DB追加】 DB追加し既存支払機能との連携。,,
CR-039,2026/02/09,ダッシュボード,案件管理のクロスタブ同期の拡張,タブAの編集がタブBCでも即時反映。リロード不要,,2,10000,有償,,,,検討中,【機能追加】ボーリング ＋ 待ち時間ゼロ,,
CR-040,,,,,,,,無償,,,,,,,
CR-041,,,,,,,,無償,,,,,,,
CR-042,,,,,,,,無償,,,,,,,
CR-043,,,,,,,,無償,,,,,,,
CR-044,,,,,,,,無償,,,,,,,
CR-045,,,,,,,,無償,,,,,,,
CR-046,,,,,,,,無償,,,,,,,
CR-047,,,,,,,,無償,,,,,,,
CR-048,,,,,,,,無償,,,,,,,
CR-049,,,,,,,,無償,,,,,,,
CR-050,,,,,,,,無償,,,,,,,
,,,,,,43,215000,無償,,,,,,,
